,,,,,Relative Position (rads),,,,,,Absolute Position (rads),,,,,,Rate (rads/sec),,,,,,Torque (N-m),,,,,
Time,Motor Voltage (V),Spring Constant (N/rad), Damper Constant (N/rad/s), Gear Ratio,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6

3.5016,12,6,0.04,12,0.00170932,0.00170622,0.00170622,0.00174747,0.00170932,0.00170622,4.08891,5.13612,5.13612,4.08888,4.08891,5.13612,16.595,16.5946,16.5946,16.6017,16.595,16.5946,-8.78026e-005,-8.91568e-005,-8.91568e-005,-0.000126865,-8.78026e-005,-8.91568e-005
3.6017,12,6,0.04,12,0.071163,-0.000953102,-0.000953102,0.125801,0.0839346,-0.000953102,5.57446,0.410591,0.410591,5.51982,5.56169,0.410591,11.1834,12.4056,12.4057,7.87362,8.43218,12.4056,0.472628,-0.00895888,-0.00896205,0.932845,0.659305,-0.00895888
3.7018,12,6,0.04,12,0.00229551,0.00312402,0.00528314,0.00229551,0.00229551,0.00371911,0.901997,1.94837,1.94621,0.901997,0.901997,1.94777,16.7087,16.8877,17.3464,16.7087,16.7087,17.0131,-0.000412642,-0.0026002,-0.00799304,-0.000412642,-0.000412642,-0.00404528
3.8019,12,6,0.04,12,0.00022496,0.0511786,0.113682,0.000228774,0.000228774,0.0255782,2.42964,3.42588,3.36338,2.42963,2.42963,3.45148,13.5801,7.09955,6.47853,13.581,13.581,6.84679,-0.00570246,0.559239,0.959103,-0.00571657,-0.00571631,0.415747
3.9019,12,6,0.04,12,0.00511471,0.00340644,0.00340644,0.0169174,0.0106994,0.00340644,3.89959,4.9485,4.9485,3.88779,3.894,4.9485,17.092,16.7302,16.7302,19.5801,18.2677,16.7302,-0.00226385,0.00196087,0.00196056,-0.0309694,-0.0157821,0.00196056
4.0019,12,6,0.04,12,0.00106706,0.0010754,0.00111355,0.0351285,0.00106706,0.00109447,5.45355,0.217558,0.21752,5.41949,5.45355,0.217539,16.2697,16.2707,16.2769,5.84605,16.2697,16.2739,-0.0133236,-0.0133128,-0.0133307,0.607992,-0.0133236,-0.0133245
4.102,12,6,0.04,12,0.0036652,0.0184822,0.0765228,0.0036652,0.0036652,0.0406799,0.654089,1.68647,1.62843,0.654089,0.654089,1.66427,14.9712,17.9912,28.4761,14.9712,14.9712,21.8607,0.0249875,-0.00690816,-0.0780616,0.0249875,0.0249875,-0.0285027
4.2021,12,6,0.04,12,0.00169737,0.00169427,0.00169427,0.00175077,0.00172407,0.00169427,2.19528,3.24248,3.24248,2.19522,2.19525,3.24248,16.5991,16.5981,16.5981,16.6154,16.6057,16.5981,-8.6674e-005,-6.62082e-005,-6.62082e-005,-0.000420002,-0.000192189,-6.62082e-005
4.3021,12,6,0.04,12,0.049883,0.000777124,0.000773309,0.175913,0.0909559,0.000777124,3.61754,4.71385,4.71385,3.49151,3.57647,4.71385,18.5973,11.9389,11.9384,13.991,11.4075,11.9389,0.0404758,0.0121755,0.0121755,0.980907,0.574506,0.0121755
4.4022,12,6,0.04,12,0.00190805,0.00202702,0.00309514,0.00190805,0.00190805,0.00254582,5.17826,6.22534,6.22427,5.17826,5.17826,6.22482,16.6646,16.6912,16.9172,16.6646,16.6646,16.8005,-0.000590989,-0.000938565,-0.00357246,-0.000590989,-0.000590989,-0.0021981
4.5023,12,6,0.04,12,-0.000286981,0.0549696,0.122017,-0.000279351,-0.000283166,0.0396117,0.436433,1.42838,1.36133,0.436425,0.436429,1.44373,13.378,7.34349,6.80535,13.3791,13.3786,7.18549,-0.0144348,0.558485,0.982293,-0.0144351,-0.014435,0.472657
4.6023,12,6,0.04,12,0.00278578,0.00233255,0.00233255,0.00612746,0.00448714,0.00233255,1.91325,2.9609,2.9609,1.90991,1.91155,2.9609,16.8305,16.733,16.733,17.5384,17.1899,16.733,-0.00179565,-0.000615133,-0.000615133,-0.0100594,-0.00596351,-0.000615133
4.7024,12,6,0.04,12,0.0190272,-0.00226193,-0.00227719,0.0912089,-0.00225883,-0.00226956,3.42901,4.4975,4.49751,3.35683,3.4503,4.49751,10.0013,15.571,15.5682,9.97912,15.5691,15.5694,0.309885,-0.0406367,-0.0406161,0.743864,-0.0405433,-0.0406164
4.8025,12,6,0.04,12,0.00454647,0.00913627,0.0487786,0.00454647,0.00454647,0.0285531,4.89214,5.93475,5.89511,4.89214,4.89214,5.91534,16.1109,17.0745,25.1095,16.1109,16.1109,21.0111,0.0140179,0.00301236,-0.080532,0.0140179,0.0140179,-0.0379492
